image,race,gender,age
2_110822_1.jpg,0,0,2
0_84300_0.jpg,6,1,2
8_94338_0.jpg,6,1,2
8_49498_0.jpg,6,1,2
0_139110_0.jpg,2,0,2
7_115657_0.jpg,3,0,2
10_170513_0.jpg,6,1,2
2_19022_1.jpg,0,0,2
1_36401_0.jpg,6,0,2
8_71618_0.jpg,6,1,2
0_135070_1.jpg,0,0,3
9_19769_0.jpg,6,1,2
10_177481_0.jpg,6,1,4
3_51213_0.jpg,6,1,2
1_46381_0.jpg,6,1,2
6_157926_0.jpg,6,1,3
2_59052_1.jpg,0,0,2
9_102439_0.jpg,6,0,2
7_63437_0.jpg,4,1,2
10_177993_0.jpg,6,0,0
7_97677_0.jpg,6,0,0
0_131920_1.jpg,6,0,2
8_151948_1.jpg,3,0,2
1_90191_0.jpg,0,0,2
10_177099_0.jpg,6,1,2
5_94425_0.jpg,6,1,2
10_171843_10.jpg,6,0,2
7_102147_3.jpg,6,1,0
8_156758_2.jpg,4,1,2
0_111730_2.jpg,6,1,2
3_119493_1.jpg,6,1,2
1_143901_0.jpg,6,1,2
0_121080_4.jpg,6,0,2
4_73384_2.jpg,6,0,2
6_80726_0.jpg,6,1,2
3_33003_1.jpg,6,1,2
5_6975_1.jpg,6,1,2
7_91867_0.jpg,6,0,3
7_143607_0.jpg,6,1,2
1_24291_0.jpg,6,0,2
6_20756_0.jpg,6,1,2
5_86845_0.jpg,6,0,2
10_177057_0.jpg,6,1,2
1_157381_2.jpg,6,1,2
9_98119_0.jpg,6,0,2
8_22448_0.jpg,3,1,2
9_39479_1.jpg,6,1,2
8_126658_0.jpg,6,0,2
0_76770_3.jpg,6,0,3
2_23422_0.jpg,6,1,1
5_23745_0.jpg,6,1,2
2_94962_0.jpg,6,1,2
1_63921_0.jpg,4,0,2
10_170584_1.jpg,6,1,2
8_5578_0.jpg,3,0,4
4_84964_0.jpg,6,1,2
0_64870_0.jpg,4,1,2
0_94860_0.jpg,2,1,2
1_84391_3.jpg,1,1,2
7_122647_0.jpg,6,1,2
9_22769_5.jpg,4,0,2
6_66276_0.jpg,0,1,2
8_131568_0.jpg,3,1,2
10_177942_0.jpg,6,1,2
0_66190_0.jpg,3,1,2
5_17955_0.jpg,6,0,2
2_33692_0.jpg,6,0,0
5_59325_0.jpg,6,1,2
3_89203_1.jpg,6,1,2
10_175697_0.jpg,1,0,2
2_56692_1.jpg,6,1,2
8_75488_1.jpg,6,1,0
10_177836_0.jpg,3,1,2
5_72665_0.jpg,6,0,2
4_93354_0.jpg,6,0,3
2_132262_0.jpg,1,1,2
3_28793_0.jpg,6,1,2
9_80439_0.jpg,1,1,1
6_87876_0.jpg,6,1,2
9_81559_0.jpg,1,1,2
3_59183_2.jpg,6,1,0
0_94760_0.jpg,6,1,2
1_115411_0.jpg,6,0,2
7_35937_0.jpg,6,1,2
10_175117_0.jpg,6,0,2
6_130136_0.jpg,6,1,0
4_41874_0.jpg,3,0,2
10_172622_0.jpg,3,1,4
6_12296_0.jpg,6,0,2
10_172918_0.jpg,6,1,2
5_111145_2.jpg,6,0,2
2_105742_0.jpg,6,1,2
3_80643_8.jpg,6,1,2
9_88629_1.jpg,6,0,4
6_23556_2.jpg,6,1,2
0_107480_1.jpg,6,1,2
7_18937_1.jpg,0,1,1
2_94572_0.jpg,6,1,2
3_2623_0.jpg,6,1,2
7_143847_0.jpg,6,1,2
0_32840_0.jpg,6,1,2
10_172694_0.jpg,6,1,2
0_56680_0.jpg,6,0,2
3_163833_4.jpg,6,0,3
10_175768_0.jpg,6,1,2
10_173075_0.jpg,0,1,2
10_174622_0.jpg,6,1,0
7_156067_0.jpg,6,0,2
6_32906_0.jpg,0,1,2
9_3199_1.jpg,0,0,2
8_3008_0.jpg,6,1,2
9_134949_0.jpg,6,0,2
4_162054_0.jpg,6,1,2
0_10160_0.jpg,6,0,3
10_177024_0.jpg,4,0,2
6_38726_0.jpg,1,0,2
10_172565_0.jpg,3,1,2
1_45971_0.jpg,2,1,2
1_134941_0.jpg,6,0,3
