id,genre
9928,Animation
9928,Comedy
9928,Family
9928,Science Fiction
17880,Family
17880,Comedy
17880,Drama
8968,Thriller
8968,Horror
8968,Drama
8968,Mystery
8202,Science Fiction
8202,Action
8202,Thriller
11638,Comedy
11638,Romance
215,Horror
15648,Comedy
15648,Drama
15648,Family
15648,Romance
11348,Horror
11348,Thriller
11348,Mystery
13417,Animation
13417,Comedy
13417,Family
16553,Comedy
16553,Romance
1420,Drama
1420,Comedy
10320,Drama
10320,Horror
10320,Thriller
74,Adventure
74,Thriller
74,Science Fiction
9724,Drama
9724,Romance
9724,Fantasy
9042,Action
9042,Adventure
9042,Horror
9042,Thriller
411,Adventure
411,Family
411,Fantasy
10040,Action
10040,Comedy
4348,Drama
4348,Romance
9687,Comedy
30178,Animation
30178,Comedy
30178,Family
7873,Crime
7873,Drama
7873,Thriller
7873,Action
9335,Action
9335,Thriller
9335,Crime
1635,Action
1635,Thriller
1635,Science Fiction
1635,Adventure
612,Drama
612,Action
612,History
612,Thriller
11968,Action
11968,Thriller
11968,Adventure
11968,Crime
9043,Comedy
9043,Drama
9043,Romance
9721,Action
9721,Crime
9721,Thriller
9912,Drama
9912,Adventure
9912,History
6957,Comedy
6957,Romance
11171,Drama
9899,Comedy
9641,Comedy
9641,Family
9641,Adventure
561,Fantasy
561,Action
561,Horror
7453,Adventure
7453,Comedy
7453,Science Fiction
11400,Drama
11400,History
11400,Romance
398,Crime
398,Drama
9522,Comedy
9522,Romance
9913,Drama
9913,Horror
9913,Mystery
9913,Thriller
19316,Comedy
19316,Romance
19316,Drama
6439,Comedy
6439,Family
9722,Comedy
9722,Fantasy
9722,Romance
319327,Horror
319327,TV Movie
9291,Drama
9291,Comedy
9291,Crime
9681,Adventure
9681,Comedy
9681,Drama
9681,Romance
953,Family
953,Animation
953,Adventure
953,Comedy
8978,Thriller
8978,Action
8978,Adventure
8978,Crime
8978,Drama
7295,Thriller
7295,Mystery
7295,Drama
13374,Family
13374,Drama
13374,Comedy
319326,Thriller
319326,Horror
319326,TV Movie
9787,Drama
14695,Crime
14695,Drama
1495,Drama
1495,Action
1495,Adventure
1495,History
1495,War
38828,Action
38828,Adventure
38828,Drama
38828,Fantasy
38828,Science Fiction
38828,Thriller
1640,Drama
8923,Crime
8923,Drama
8274,Comedy
921,Romance
921,Drama
921,History
1696,Drama
1696,Horror
1696,Crime
9779,Drama
9779,Comedy
9779,Romance
9009,Horror
9009,Mystery
9009,Drama
116,Drama
116,Thriller
116,Crime
116,Romance
16320,Science Fiction
16320,Action
16320,Adventure
16320,Thriller
1904,Drama
1904,Romance
1904,History
15402,Comedy
15402,Drama
5236,Comedy
5236,Crime
5236,Mystery
10022,Comedy
10022,Family
10022,Action
24556,Animation
24556,Family
24556,Fantasy
24556,Adventure
1656,Action
1656,Adventure
1656,Western
13498,Comedy
13498,Action
24546,Action
24546,Adventure
24546,Thriller
11648,Romance
11648,Comedy
7182,Horror
7182,Thriller
13922,Action
13922,History
13922,War
14057,Comedy
14057,Drama
14057,Romance
12142,Action
12142,Fantasy
12142,Horror
16456,Action
16456,Horror
16456,Fantasy
168705,Fantasy
13499,Comedy
13499,Family
13499,Romance
674,Adventure
674,Fantasy
7552,Comedy
7552,Crime
7552,Drama
7552,Romance
20910,Family
20910,Adventure
20910,Comedy
20910,Music
20910,Fantasy
20910,TV Movie
272,Action
272,Crime
272,Drama
9392,Adventure
9392,Horror
9621,Comedy
9621,Drama
9621,Romance
16455,Animation
16455,Family
11460,Thriller
11460,Mystery
8066,Mystery
8066,Thriller
8066,Drama
7553,Comedy
7553,Romance
11931,Comedy
11931,Drama
11931,Romance
16048,Comedy
16048,Drama
16048,Romance
9981,Family
9981,Comedy
11096,Horror
11096,Mystery
11451,Comedy
11451,Family
11451,Adventure
11451,Fantasy
11451,Romance
7364,Action
7364,Adventure
7364,Comedy
7364,Drama
7364,Mystery
127801,Drama
127801,TV Movie
127801,Romance
257,Crime
257,Drama
257,Family
9982,Animation
9982,Family
9982,Comedy
13682,Family
13682,Animation
13682,Comedy
13682,Fantasy
2800,Comedy
2800,Romance
27902,Family
27902,Romance
11283,Fantasy
11283,Comedy
11283,Family
533,Adventure
533,Animation
533,Comedy
533,Family
24615,Mystery
24615,Family
24615,Animation
24615,Adventure
24615,Comedy
11679,Action
11679,Adventure
11679,Crime
11679,Mystery
11679,Thriller
254,Adventure
254,Drama
254,Action
9388,Comedy
9388,Drama
11453,Comedy
20077,Animation
20077,Action
20077,Fantasy
20077,Mystery
308,Comedy
308,Drama
308,Mystery
308,Romance
9968,Comedy
9968,Crime
9968,Drama
9763,Drama
9777,Drama
9777,Mystery
8643,Crime
8643,Drama
8643,Horror
8643,Thriller
11683,Horror
11683,Science Fiction
6519,Comedy
6519,Adventure
6519,Action
10012,Horror
10012,Comedy
9947,Action
9947,Fantasy
9947,Adventure
4442,Adventure
4442,Fantasy
4442,Action
4442,Comedy
4442,Thriller
8292,Action
8292,Crime
2026,Action
2026,Thriller
2026,Crime
3933,Romance
3933,Fantasy
3933,Animation
1895,Adventure
1895,Action
1895,Science Fiction
7214,Drama
7214,History
118,Adventure
118,Comedy
118,Family
118,Fantasy
25,Drama
25,War
14199,Adventure
14199,Family
14199,Science Fiction
15907,Adventure
15907,Drama
15907,Family
5289,Drama
5289,Action
5289,Crime
20604,Documentary
20604,Music
787,Action
787,Comedy
787,Drama
787,Thriller
9667,Thriller
9667,Mystery
9667,Drama
9667,Science Fiction
9667,Fantasy
6795,Science Fiction
6795,Adventure
6795,Family
10077,Thriller
10077,Science Fiction
10077,Adventure
10077,Action
9288,Action
9288,Adventure
9288,Fantasy
9288,TV Movie
20771,Animation
20771,Adventure
20771,Family
20771,Action
20771,Comedy
20771,Science Fiction
1830,Crime
1830,Drama
1830,Thriller
8814,Action
8814,Horror
8814,Science Fiction
5471,Action
5471,Adventure
5471,Drama
5471,Fantasy
12700,Horror
142,Drama
142,Romance
4551,Comedy
4551,Crime
69,Drama
69,Music
69,Romance
8382,Action
